staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SSE-GOV-001,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.11,AI,B,1,"rogress of NZAP Plus investments; strategic direction and opportunities at home and abroad; the policy environment, and the impact of innovation, AI and cyber risk on our plans. Good governance benefits from fresh perspectives and I was pleased to welcome two new Board members, Maarten Wetsela",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
SSE-GOV-002,SSE plc,SSE,"SSE creates a compliant, nuanced virtual assistant using Microsoft Copilot Studio and Azure OpenAI | Microsoft Customer Stories",SSE_partner_partner_case_study_n-a.html,,partner_case_study,technology_partner,not_applicable,AI,B,1,"global data regulations and built on enterprise-grade network infrastructure. Furthermore, as these solutions are built using Microsoft’s Responsible AI Standard, SSE can rest-assured that Nero’s responses are inclusive, bias-free and that data is kept secure. To ensure alignment with its specific se",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
