duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,SSE plc,SSE-REJ-001,rejected_candidates_staging,webpage_boilerplate,not_applicable,7 webpage-boilerplate passages on the same page/section of SSE_partner_partner_case_study_n-a.html consolidated into one rejected row.,yes,,
DUPG-002,SSE plc,SSE-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.128) of SSE_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,SSE plc,SSE-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.129) of SSE_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,SSE plc,SSE-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,24 passages on the same page (not_applicable) of SSE_partner_partner_case_study_n-a.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
