duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,F&C Investment Trust,FCIT-REJ-001,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,F&C Investment Trust,FCIT-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,F&C Investment Trust,FCIT-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.12) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,F&C Investment Trust,FCIT-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.14) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,F&C Investment Trust,FCIT-STR-001,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.15) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same technology strategy theme and were consolidated into one row.,yes,,
DUPG-006,F&C Investment Trust,FCIT-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.16) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,F&C Investment Trust,FCIT-GOV-003,governance_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.27) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-008,F&C Investment Trust,FCIT-GOV-004,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.27) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-009,F&C Investment Trust,FCIT-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.49) of FCIT_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
