staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
AUTO-GOV-001,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.34,artificial intelligence,B,1,"t 9 Health, safety and wellbeing 10 Workplace culture and employee engagement 11 Government affairs and lobbying OUR GOVERNANCE & COMPLIANCE 12 Artificial intelligence in the digital workplace 13 Artificial intelligence in products 14 Data privacy 15 Digital infrastructure and cyber security 16 Ethics, integrit",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure (Board LLM risk oversight).
AUTO-GOV-002,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.91,artificial intelligence,B,1,ty penetration testing; employee relations and grievance processes; corporate governance reform; FCA compliance; counter-fraud and financial crime; artificial intelligence; and third-party risk management. Key risks and controls are documented in a Group risk register with ALT members designated as risk owners. The pr,no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure (Board LLM risk oversight).
AUTO-GOV-003,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report and Financial Statements 2024,AUTO_company_annual_report_previous_fy2024_2024-07.pdf,,annual_report_previous,company_primary,p.29,AI,B,1,ensuring the automotive industry is gender balanced and that it is an inclusive place for all who work in it. • Guidance and policy over the use of AI. • Implementation of NIST across all subsidiary companies. • Continuing to assess the requirements of the Corporate Governance Code around the effe,no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure (Board LLM risk oversight).
