company,ticker,candidate_title,landing_page_url,direct_download_url,effective_download_url,final_redirected_url,http_status,content_type,filename,result,reason
GSK plc,GSK,GSK Annual Report 2025,https://www.gsk.com/en-gb/investors/financial-reports/annual-report-2025/,https://assets.gskstatic.com/media/kn0bknmd/annual-report-2025.pdf,https://assets.gskstatic.com/media/kn0bknmd/annual-report-2025.pdf,https://assets.gskstatic.com/media/kn0bknmd/annual-report-2025.pdf,404,,,failed,HTTP 404 -- Not Found
GSK plc,GSK,GSK Annual Report 2024,https://www.gsk.com/en-gb/investors/financial-reports/,https://www.gsk.com/media/wrvfwob1/annual-report-2024.pdf,https://www.gsk.com/media/wrvfwob1/annual-report-2024.pdf,https://www.gsk.com/media/wrvfwob1/annual-report-2024.pdf,200,application/pdf,GSK_company_annual_report_previous_fy2024.pdf,downloaded,"9384416 bytes, content_type=application/pdf"
GSK plc,GSK,GSK Annual Report 2025,https://www.gsk.com/en-gb/investors/financial-reports/annual-report-2025/,https://www.gsk.com/media/kn0bknmd/annual-report-2025.pdf,https://www.gsk.com/media/kn0bknmd/annual-report-2025.pdf,https://www.gsk.com/media/kn0bknmd/annual-report-2025.pdf,200,application/pdf,GSK_company_annual_report_current_fy2025.pdf,downloaded,"24690253 bytes, content_type=application/pdf"
GSK plc,GSK,GSK Annual Report 2024,https://www.gsk.com/en-gb/investors/financial-reports/,https://www.gsk.com/media/wrvfwob1/annual-report-2024.pdf,https://www.gsk.com/media/wrvfwob1/annual-report-2024.pdf,,,,GSK_company_annual_report_previous_fy2024.pdf,skipped_existing,file already present: C:\Users\rosie\OneDrive\university\extra stuff\2026 grad jobs prep\ftse_genai_research_pack\sources\gsk-plc\GSK_company_annual_report_previous_fy2024.pdf
