company,ticker,candidate_title,landing_page_url,direct_download_url,effective_download_url,final_redirected_url,http_status,content_type,filename,result,reason
IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,https://www.ihgplc.com/en/investors/annual-report,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2025/ihg-ar25-interactive.pdf,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2025/ihg-ar25-interactive.pdf,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2025/ihg-ar25-interactive.pdf,200,application/pdf,IHG_company_annual_report_current_fy2025_2026-02.pdf,downloaded,"21284252 bytes, content_type=application/pdf"
IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2024 -- IHG Hotels & Resorts,https://www.ihgplc.com/en/investors/2024-annual-report,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2024/ihg-ar-2024.pdf,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2024/ihg-ar-2024.pdf,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2024/ihg-ar-2024.pdf,200,application/pdf,IHG_company_annual_report_previous_fy2024_2025-02.pdf,downloaded,"8105191 bytes, content_type=application/pdf"
IHG Hotels & Resorts,IHG,"IHG Hotels & Resorts Launches AI Conversational Search Across its Digital Channels, Transforming the Guest Experience",https://www.ihgplc.com/en/news-and-media/news-releases/2026/ihg-hotels-and-resorts-launches-ai-conversational-search-across-its-digital-channels-transforming-the-guest-experience,,https://www.ihgplc.com/en/news-and-media/news-releases/2026/ihg-hotels-and-resorts-launches-ai-conversational-search-across-its-digital-channels-transforming-the-guest-experience,https://www.ihgplc.com/en/news-and-media/news-releases/2026/ihg-hotels-and-resorts-launches-ai-conversational-search-across-its-digital-channels-transforming-the-guest-experience,200,text/html; charset=utf-8,IHG_company_press_release_n-a_2026-07-28.html,downloaded,"89106 bytes, content_type=text/html; charset=utf-8"
