company,ticker,candidate_title,landing_page_url,direct_download_url,effective_download_url,final_redirected_url,http_status,content_type,filename,result,reason
Schroders,SDR,Schroders plc Annual Report and Accounts 2025,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2025/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2025/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2025/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2025/,200,text/html; charset=utf-8,SDR_company_annual_report_current_fy2025_2026-02.html,downloaded,"448367 bytes, content_type=text/html; charset=utf-8"
Schroders,SDR,Schroders plc Annual Report and Accounts 2024,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2024/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2024/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2024/,https://www.schroders.com/en/global/individual/corporate-transparency/reporting/annual-report-and-accounts-2025/,200,text/html; charset=utf-8,SDR_company_annual_report_previous_fy2024_2025-03.html,downloaded,"448367 bytes, content_type=text/html; charset=utf-8"
Schroders,SDR,Schroders Capital launches AI analyst for private equity,https://www.schroders.com/en-us/us/institutional/media-center/schroders-capital-launches-ai-analyst-for-private-equity/,,https://www.schroders.com/en-us/us/institutional/media-center/schroders-capital-launches-ai-analyst-for-private-equity/,https://www.schroders.com/en-us/us/institutional/media-center/schroders-capital-launches-ai-analyst-for-private-equity/,200,text/html; charset=utf-8,SDR_company_press_release_n-a_2024-07.html,downloaded,"277986 bytes, content_type=text/html; charset=utf-8"
