company,ticker,sector,membership_effective_date,latest_annual_report_required,previous_annual_report_required,separate_sustainability_report_if_available,official_site_search_required,partner_case_study_search_required
Rolls-Royce Holdings,RR,Aerospace & defence,2026-06-19,yes,yes,yes,yes,yes
Sage Group,SGE,Software & computer services,2026-06-19,yes,yes,yes,yes,yes
Sainsbury's,SBRY,Food & drug retailing,2026-06-19,yes,yes,yes,yes,yes
Schroders,SDR,Financial services,2026-06-19,yes,yes,yes,yes,yes
Scottish Mortgage Investment Trust,SMT,Collective investments,2026-06-19,yes,yes,yes,yes,yes
Segro,SGRO,Real estate investment trusts,2026-06-19,yes,yes,yes,yes,yes
Severn Trent,SVT,Multiline utilities,2026-06-19,yes,yes,yes,yes,yes
Shell plc,SHEL,Oil & gas producers,2026-06-19,yes,yes,yes,yes,yes
Smiths Group,SMIN,General industrials,2026-06-19,yes,yes,yes,yes,yes
Smith & Nephew,SN,Health care equipment & supplies,2026-06-19,yes,yes,yes,yes,yes
Spirax Group,SPX,Industrial engineering,2026-06-19,yes,yes,yes,yes,yes
SSE plc,SSE,Electrical utilities & independent power producers,2026-06-19,yes,yes,yes,yes,yes
Standard Chartered,STAN,Banks,2026-06-19,yes,yes,yes,yes,yes
Standard Life,SDLF,Life insurance,2026-06-19,yes,yes,yes,yes,yes
St. James's Place,STJ,Financial services,2026-06-19,yes,yes,yes,yes,yes
Tesco,TSCO,Food & drug retailing,2026-06-19,yes,yes,yes,yes,yes
Tritax Big Box REIT,BBOX,Real estate investment trusts,2026-06-19,yes,yes,yes,yes,yes
Unilever,ULVR,Personal goods,2026-06-19,yes,yes,yes,yes,yes
United Utilities,UU,Multiline utilities,2026-06-19,yes,yes,yes,yes,yes
Vodafone Group,VOD,Mobile telecommunications,2026-06-19,yes,yes,yes,yes,yes
Weir Group,WEIR,Industrial goods and services,2026-06-19,yes,yes,yes,yes,yes
Whitbread,WTB,Retail hospitality,2026-06-19,yes,yes,yes,yes,yes
